Timestamp,Station,Address,Fuel Type,Price
"03/07/2026 00:16:01","Applegreen Southbound.","M1 Lusk Southbound, M1,","Diesel","178.9c"
"03/07/2026 00:16:01","Applegreen Southbound.","M1 Lusk Southbound, M1,","Petrol","174.9c"
"03/07/2026 00:16:01","Circle K Mulhuddart","15 Navan Rd, Mulhuddart,","Diesel","169.8c"
"03/07/2026 00:16:01","Circle K Mulhuddart","15 Navan Rd, Mulhuddart,","Petrol","173.8c"
"03/07/2026 00:16:01","Circle K Hartstown","Hartstown Rd, Hartstown,","Diesel","169.8c"
"03/07/2026 00:16:01","Circle K Hartstown","Hartstown Rd, Hartstown,","Petrol","173.8c"
"03/07/2026 00:16:01","Circle K Swords","Milton Fields Service Station, 6 Dublin Rd, Miltonsfields,","Diesel","172.8c"
"03/07/2026 00:16:01","Circle K Swords","Milton Fields Service Station, 6 Dublin Rd, Miltonsfields,","Petrol","175.8c"
"03/07/2026 00:16:01","Circle K Airside","R132, Nevinstown Ln,","Diesel","172.8c"
"03/07/2026 00:16:01","Circle K Airside","R132, Nevinstown Ln,","Petrol","174.8c"
"03/07/2026 00:16:01","Top Oil Collinstown","Collinstown Business Park, Swords Rd, Cloghran,","Diesel","168.9c"
"03/07/2026 00:16:01","Applegreen Santry","R132, Swords Rd, Turnapin Great,","Diesel","169.8c"
"03/07/2026 00:16:01","Applegreen Santry","R132, Swords Rd, Turnapin Great,","Petrol","174.8c"
"03/07/2026 00:16:01","Airport Energy","Old Airport Rd, Collinstown,","Diesel","166.9c"
"03/07/2026 00:16:01","Airport Energy","Old Airport Rd, Collinstown,","Petrol","174.9c"
"03/07/2026 00:16:01","Bradys at Coolquay","R135, Coolquoy Common,","Diesel","168.9c"
"03/07/2026 00:16:01","Bradys at Coolquay","R135, Coolquoy Common,","Petrol","171.9c"
"03/07/2026 00:16:01","Applegreen","Clonsilla Rd, Clonsilla,","Diesel","173.8c"
"03/07/2026 00:16:01","Applegreen","Clonsilla Rd, Clonsilla,","Petrol","169.8c"
"07/07/2026 11:25:00","Circle K Taney","14 Taney Rd, Kilmacud West,","Diesel","168.9c"
"07/07/2026 11:25:00","Circle K Taney","14 Taney Rd, Kilmacud West,","Petrol","170.9c"
"07/07/2026 11:25:00","Circle K Apollo","14 Dundrum Rd, Dundrum,","Diesel","168.9c"
"07/07/2026 11:25:00","Circle K Apollo","14 Dundrum Rd, Dundrum,","Petrol","170.9c"
"07/07/2026 11:25:00","Applegreen","R138, Stillorgan Rd, Merrion,","Diesel","168.8c"
"07/07/2026 11:25:00","Applegreen","R138, Stillorgan Rd, Merrion,","Petrol","168.8c"
"07/07/2026 11:25:00","Circle K Stillorgan","N31, Greygates, Stillorgan Rd,","Diesel","168.9c"
"07/07/2026 11:25:00","Circle K Stillorgan","N31, Greygates, Stillorgan Rd,","Petrol","168.9c"
"07/07/2026 11:25:00","Kilmacud Service Station","R825, 81 Lower Kilmacud Rd, Stillorgan,","Diesel","179.7c"
"07/07/2026 11:25:00","Kilmacud Service Station","R825, 81 Lower Kilmacud Rd, Stillorgan,","Petrol","179.7c"
"07/07/2026 11:25:00","Applegreen","90 Tyrconnell Rd, Inchicore,","Diesel","165.8c"
"07/07/2026 11:25:00","Applegreen","90 Tyrconnell Rd, Inchicore,","Petrol","170.8c"
"07/07/2026 11:25:00","Applegreen","Naas Rd, Tootenhill,","Diesel","171.8c"
"07/07/2026 11:25:00","Applegreen","Naas Rd, Tootenhill,","Petrol","173.8c"
"07/07/2026 11:25:00","Circle K Rathcoole","Naas Rd, Rathcoole,","Diesel","171.8c"
"07/07/2026 11:25:00","Circle K Rathcoole","Naas Rd, Rathcoole,","Petrol","173.8c"
"07/07/2026 11:25:00","Certa","R132, Swords Rd, Dardistown, Santry,","Diesel","167.9c"
"07/07/2026 11:25:00","Certa","R132, Swords Rd, Dardistown, Santry,","Petrol","171.9c"
"07/07/2026 11:25:00","Circle K","Rochestown Ave, Rochestown Domain,","Diesel","170.8c"
"07/07/2026 11:25:00","Circle K","Rochestown Ave, Rochestown Domain,","Petrol","170.8c"
